"","x1","x2","x3","x4","x5","x6","x7","x8","y1"
"8648",30,20,49,7,60,17,9,30,5.92
"8649",28,25,35,8,46,19,13,30,8.39
"8650",34,24,25,14,57,17,10,33,8.22
"8651",32,21,38,12,57,9,10,26,8.27
"8652",26,20,47,5,61,16,8,29,7.32
"8653",22,21,46,8,69,24,7,18,8.22
"8654",22,17,39,9,68,25,9,22,8.26
"8655",20,20,46,11,65,26,8,21,8.55
"8656",20,13,34,9,57,22,13,22,8.65
"8657",23,14,44,4,65,21,12,25,7.94
"8658",32,17,31,17,62,21,10,30,8.19
"8659",33,13,28,13,63,21,4,36,11.39
"8660",21,7,47,19,56,25,8,20,11.16
"8661",32,9,33,11,57,14,8,33,7.77
"8662",30,13,36,8,76,11,12,31,7.42
"8663",29,11,36,4,73,7,21,27,7.31
"8664",27,10,46,2,65,7,10,31,7.01
"8665",33,9,30,13,65,4,13,32,6.57
"8666",36,21,29,12,53,11,12,36,6.8
"8667",26,6,43,12,41,30,19,25,8.11
"8668",31,10,32,20,45,19,7,29,8.18
"8669",26,16,45,16,56,19,10,27,7.87
"8670",23,19,47,10,60,15,7,20,7.83
"8671",22,35,47,6,44,16,7,30,6.57
"8672",28,26,42,4,58,18,6,21,8.59
"8673",22,7,48,7,50,25,12,24,7.88
"8674",24,8,54,7,76,17,13,23,7.98
"8675",29,25,33,7,68,16,21,29,8.41
"8676",3,10,3,5,9,5,2,5,7.8
"8677",19,36,33,10,50,14,9,20,2.11
"8678",30,24,71,10,80,45,14,47,7.49
"8679",56,15,70,7,87,31,15,54,11.81
"8680",53,22,56,14,106,24,20,48,12.29
"8681",55,27,52,14,93,19,18,52,12.26
"8682",38,36,78,14,96,17,8,41,13.97
"8683",49,25,64,14,122,10,16,54,11.01
"8684",50,24,49,16,114,15,20,43,10.64
"8685",42,16,75,17,108,25,18,42,10.61
"8686",38,31,80,28,81,27,17,35,11.52
"8687",44,25,67,19,89,35,12,45,10.59
"8688",36,21,58,20,89,29,17,38,11.86
"8689",34,18,81,18,101,44,16,31,11.64
"8690",38,23,66,18,92,29,21,43,13.09
"8691",50,18,50,20,106,19,26,47,14.03
"8692",41,15,66,22,91,19,26,42,12.31
"8693",50,17,79,24,108,16,13,47,10.66
"8694",41,22,64,15,94,22,13,56,11.66
"8695",64,25,59,15,93,20,11,55,11.54
"8696",56,17,51,16,102,31,14,57,11.25
"8697",48,24,58,15,87,39,13,47,12.26
"8698",47,27,45,14,106,34,12,53,15.5
"8699",50,27,47,13,105,26,22,42,13.03
"8700",42,34,66,15,87,22,26,40,12.64
"8701",38,33,79,9,87,21,32,41,10.67
"8702",40,39,99,13,88,24,17,37,12.05
"8703",37,26,70,15,97,24,19,42,12.07
"8704",42,20,57,19,105,35,12,38,11.22
"8705",43,9,56,22,109,27,16,47,12.16
"8706",12,11,12,3,32,11,5,16,11.72
"8707",26,18,35,10,38,23,16,29,3.1
"8708",43,23,101,19,56,52,20,56,8.52
"8709",50,41,101,22,99,36,14,47,14.19
"8710",52,41,85,14,118,26,36,49,13.48
"8711",46,31,77,13,141,19,27,48,13.03
"8712",46,23,75,15,159,13,32,48,12.05
"8713",52,27,89,19,131,19,32,48,11.65
"8714",51,28,81,25,138,18,34,51,15.9
"8715",60,37,82,18,106,30,19,63,13.08
"8716",62,25,93,16,117,21,16,73,13.51
"8717",62,21,85,18,117,21,23,50,14.06
"8718",46,30,110,20,118,22,24,44,12.47
"8719",52,36,91,28,117,32,20,53,12.4
"8720",58,40,66,23,117,31,18,62,14.53
"8721",57,27,76,23,126,27,22,57,14.62
"8722",52,27,88,18,129,18,20,55,15.69
"8723",49,30,74,25,132,22,17,43,13.93
"8724",50,35,74,32,146,30,19,48,12.68
"8725",48,26,66,23,121,44,20,54,13.49
"8726",64,40,65,20,95,48,17,64,14.97
"8727",60,34,91,16,92,41,29,61,17.79
"8728",52,35,80,22,72,57,27,52,15.75
"8729",51,41,63,26,93,52,30,47,14.97
"8730",48,40,75,29,131,45,28,45,14.56
"8731",42,26,78,26,104,34,29,46,14.79
"8732",51,31,94,19,113,31,47,42,12.71
"8733",45,50,69,19,147,28,17,52,15.01
"8734",52,34,99,17,117,39,19,53,13.77
"8735",51,35,69,14,113,38,17,51,14.52
"8736",32,26,36,5,59,18,8,35,12.85
"8737",13,15,25,4,23,15,18,16,7.08
"8738",35,20,52,13,57,40,29,43,5.09
"8739",56,23,37,14,82,27,17,58,11.17
"8740",70,18,31,10,95,18,13,72,11.64
"8741",66,26,40,13,91,24,15,68,14.04
"8742",54,18,60,11,91,21,16,51,12.33
"8743",57,22,49,11,73,19,26,62,11.51
"8744",56,24,54,6,91,17,32,46,10.78
"8745",50,29,55,5,90,25,15,55,11.19
"8746",51,23,70,7,94,27,14,46,12.38
"8747",38,28,70,4,88,26,20,44,11.27
"8748",51,22,79,10,84,24,20,48,11.32
"8749",41,28,90,7,65,44,20,34,11.22
"8750",42,27,50,13,79,49,19,49,12.03
"8751",51,31,49,7,68,59,20,57,13.01
"8752",52,33,66,8,67,31,12,46,14.38
"8753",55,29,46,6,83,33,22,60,12.14
"8754",55,27,45,4,83,26,18,55,14.35
"8755",66,19,44,6,88,32,13,65,11.4
"8756",48,27,43,3,84,36,21,52,15.22
"8757",67,17,53,7,97,23,24,62,12.36
"8758",52,25,59,5,111,11,16,54,12.47
"8759",57,37,57,12,96,8,18,57,10.96
"8760",61,23,43,11,83,21,28,55,10.25
"8761",47,20,62,21,93,19,26,49,11.5
"8762",55,14,51,6,85,28,23,61,11.44
"8763",55,22,62,8,71,39,15,51,12.6
"8764",56,15,56,8,96,38,17,53,14.39
"8765",47,28,64,8,95,18,20,47,13
"8766",32,27,39,8,52,15,15,36,10.74
"8767",12,12,18,8,13,6,16,18,6.86
"8768",36,28,45,12,56,32,21,43,4.14
"8769",63,30,56,12,86,35,28,67,10.72
"8770",69,30,57,15,87,35,21,68,13.82
