x1,x2,x3,x4,x5,x6,x7,x8,y1
3,1,3,1,1,1,1,6,86.16
3,1,1,0,2,1,0,4,87.37
3,1,4,1,2,1,2,4,87.25
6,3,3,1,1,1,1,5,91.6
1,2,1,0,5,3,1,4,89.65
5,2,4,2,2,1,1,7,91.74
3,1,2,4,3,2,0,4,92.61
4,3,1,3,1,3,0,5,98.4
6,2,1,0,3,1,0,7,98.85
2,2,1,1,2,3,1,4,96.6
3,1,0,1,2,2,2,3,95.59
3,3,0,4,3,2,0,3,98
2,1,0,2,4,1,2,4,94.73
5,0,0,0,1,2,2,4,93.5
2,0,0,0,3,1,1,4,86.8
4,0,0,0,2,2,2,4,88
3,0,1,0,2,2,2,4,88.17
4,0,0,0,2,2,1,2,91.94
0,1,0,0,0,3,0,1,86.84
3,1,2,0,4,5,1,4,73.45
1,2,1,2,4,3,1,1,77.24
4,2,0,2,4,4,1,7,67.63
4,1,1,3,4,3,1,5,75.45
2,2,2,2,2,2,0,3,71.44
4,2,2,1,10,1,3,6,74.14
4,8,0,2,4,0,1,4,69.95
3,6,0,3,4,1,1,9,39.42
3,8,2,3,3,1,1,4,50.38
5,3,1,4,3,1,2,5,58.55
3,1,1,1,3,1,1,2,57.7
4,0,2,5,3,0,2,6,64.97
4,0,3,4,3,0,2,6,67.91
4,2,2,3,0,0,2,4,53.66
4,0,1,2,2,0,2,7,66.55
1,0,0,4,2,0,2,1,46.67
6,0,1,4,4,0,2,4,58.67
3,0,1,3,5,0,2,5,67.49
5,0,1,6,4,0,1,8,71.28
6,0,1,3,4,0,1,7,75.3
7,2,1,4,3,0,1,6,75.58
4,1,4,6,8,0,2,5,66.12
9,1,2,4,4,0,1,11,71.24
5,2,1,1,8,0,2,2,68.82
4,1,3,4,5,0,2,8,85.85
5,0,1,1,1,1,0,10,93.67
9,1,0,3,5,1,0,2,91.09
