,V1,V2,V3
154,2019-12-13 21:23:00  ,DELETE,openmrs/ws/rest/v1/person/ac076245-f4e1-40f6-8632-204c14ebafe1?purge=true
155,2019-12-13 21:23:00  ,POST,openmrs/ws/rest/v1/person
156,2019-12-13 21:23:01  ,POST,openmrs/ws/rest/v1/person
157,2019-12-13 21:23:01  ,GET,openmrs/ws/rest/v1/person/dd553c85-1691-11df-97a5-7038c432aabf
158,2019-12-13 21:23:02  ,POST,openmrs/ws/rest/v1/person
159,2019-12-13 21:23:02  ,DELETE,openmrs/ws/rest/v1/person/88096f4a-58b1-46f9-a9c6-199db1ca964a?purge=true
160,2019-12-13 21:23:02  ,DELETE,openmrs/ws/rest/v1/person/02a0adc2-16b2-4dfa-a25b-805af5fcdd07?purge=true
161,2019-12-13 21:23:02  ,GET,openmrs/ws/rest/v1/encounter?patient=dd55457a-1691-11df-97a5-7038c432aabf
162,2019-12-13 21:23:03  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
163,2019-12-13 21:23:03  ,DELETE,openmrs/ws/rest/v1/person/aa478d76-1c0f-4698-965e-89b22e9caeed?purge=true
164,2019-12-13 21:23:04  ,DELETE,openmrs/ws/rest/v1/person/3bc45994-808f-451a-8486-d46ef62f2bde?purge=true
165,2019-12-13 21:23:04  ,GET,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
166,2019-12-13 21:23:04  ,GET,openmrs/ws/rest/v1/obs?patient=dd5536fd-1691-11df-97a5-7038c432aabf
167,2019-12-13 21:23:04  ,POST,openmrs/ws/rest/v1/person
168,2019-12-13 21:23:05  ,GET,openmrs/ws/rest/v1/concept?q=2+TO+4+TIMES+A+MONTH
169,2019-12-13 21:23:05  ,POST,openmrs/ws/rest/v1/person/dd553355-1691-11df-97a5-7038c432aabf
170,2019-12-13 21:23:06  ,GET,openmrs/ws/rest/v1/concept?q=Yes
171,2019-12-13 21:23:06  ,POST,openmrs/ws/rest/v1/person
172,2019-12-13 21:23:06  ,POST,openmrs/ws/rest/v1/person
173,2019-12-13 21:23:07  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
174,2019-12-13 21:23:07  ,GET,openmrs/ws/rest/v1/person/dd553c85-1691-11df-97a5-7038c432aabf
175,2019-12-13 21:23:07  ,POST,openmrs/ws/rest/v1/person/dd55457a-1691-11df-97a5-7038c432aabf
176,2019-12-13 21:23:08  ,DELETE,openmrs/ws/rest/v1/person/1928d3e8-4b39-4005-b7e6-f55e94b2f522?purge=true
177,2019-12-13 21:23:09  ,DELETE,openmrs/ws/rest/v1/person/ec6e5e19-8abe-498b-b038-de70496afb51?purge=true
178,2019-12-13 21:23:10  ,POST,openmrs/ws/rest/v1/person
179,2019-12-13 21:23:10  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
180,2019-12-13 21:23:10  ,GET,openmrs/ws/rest/v1/obs?patient=dd5543ac-1691-11df-97a5-7038c432aabf
181,2019-12-13 21:23:11  ,POST,openmrs/ws/rest/v1/person
182,2019-12-13 21:23:11  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
183,2019-12-13 21:23:11  ,GET,openmrs/ws/rest/v1/obs?patient=dd5536fd-1691-11df-97a5-7038c432aabf
184,2019-12-13 21:23:12  ,POST,openmrs/ws/rest/v1/person
185,2019-12-13 21:23:12  ,DELETE,openmrs/ws/rest/v1/person/643069dc-5048-497b-8d23-32427797c73a?purge=true
186,2019-12-13 21:23:13  ,DELETE,openmrs/ws/rest/v1/person/92c16784-cf9d-4fce-8b40-d64ece9684be?purge=true
187,2019-12-13 21:23:13  ,DELETE,openmrs/ws/rest/v1/person/f4beeb85-de67-425b-bf40-18a286f62841?purge=true
188,2019-12-13 21:23:14  ,POST,openmrs/ws/rest/v1/person
189,2019-12-13 21:23:14  ,DELETE,openmrs/ws/rest/v1/person/7e3c72f1-d60d-43c3-a944-947d8547e3b9?purge=true
190,2019-12-13 21:23:14  ,GET,openmrs/ws/rest/v1/concept?q=1%3A4
191,2019-12-13 21:23:15  ,DELETE,openmrs/ws/rest/v1/person/53813996-4d55-4d1a-8d70-70fd5ab8c1fa?purge=true
192,2019-12-13 21:23:15  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
193,2019-12-13 21:23:15  ,GET,openmrs/ws/rest/v1/person?q=Abdi
194,2019-12-13 21:23:16  ,GET,openmrs/ws/rest/v1/concept?q=Yes
195,2019-12-13 21:23:16  ,POST,openmrs/ws/rest/v1/person
196,2019-12-13 21:23:17  ,GET,openmrs/ws/rest/v1/concept?q=1%3A2
197,2019-12-13 21:23:17  ,GET,openmrs/ws/rest/v1/person?q=Abdi
198,2019-12-13 21:23:17  ,POST,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
199,2019-12-13 21:23:18  ,GET,openmrs/ws/rest/v1/obs?patient=dd552fc1-1691-11df-97a5-7038c432aabf
200,2019-12-13 21:23:18  ,GET,openmrs/ws/rest/v1/obs?patient=dd5536fd-1691-11df-97a5-7038c432aabf
201,2019-12-13 21:23:19  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
202,2019-12-13 21:23:19  ,POST,openmrs/ws/rest/v1/person
203,2019-12-13 21:23:19  ,DELETE,openmrs/ws/rest/v1/person/d738e6ba-3755-46b4-a217-b26591c5dbe5?purge=true
204,2019-12-13 21:23:19  ,POST,openmrs/ws/rest/v1/person/dd55401d-1691-11df-97a5-7038c432aabf
205,2019-12-13 21:23:20  ,GET,openmrs/ws/rest/v1/concept?q=Yes
206,2019-12-13 21:23:21  ,POST,openmrs/ws/rest/v1/person
207,2019-12-13 21:23:21  ,DELETE,openmrs/ws/rest/v1/person/f1808b9f-fa5c-4acd-943b-3cbb377868cf?purge=true
208,2019-12-13 21:23:22  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
209,2019-12-13 21:23:22  ,POST,openmrs/ws/rest/v1/person/dd553c85-1691-11df-97a5-7038c432aabf
210,2019-12-13 21:23:23  ,DELETE,openmrs/ws/rest/v1/person/b40a842e-e50f-4f5f-bfdb-3421134a0f70?purge=true
211,2019-12-13 21:23:24  ,POST,openmrs/ws/rest/v1/person
212,2019-12-13 21:23:25  ,POST,openmrs/ws/rest/v1/person
213,2019-12-13 21:23:25  ,GET,openmrs/ws/rest/v1/person?q=Abdi
214,2019-12-13 21:23:25  ,GET,openmrs/ws/rest/v1/person/dd552fc1-1691-11df-97a5-7038c432aabf
215,2019-12-13 21:23:26  ,DELETE,openmrs/ws/rest/v1/person/95d058ba-1065-4175-967a-be151a92b839?purge=true
216,2019-12-13 21:23:28  ,GET,openmrs/ws/rest/v1/obs?patient=dd5536fd-1691-11df-97a5-7038c432aabf
217,2019-12-13 21:23:29  ,GET,openmrs/ws/rest/v1/person?q=Abdi
218,2019-12-13 21:23:31  ,DELETE,openmrs/ws/rest/v1/person/3321d4d7-2cef-423e-8851-e4822276832d?purge=true
219,2019-12-13 21:23:32  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
220,2019-12-13 21:23:32  ,GET,openmrs/ws/rest/v1/encounter?patient=dd5558ed-1691-11df-97a5-7038c432aabf
221,2019-12-13 21:23:33  ,GET,openmrs/ws/rest/v1/person?q=Abdi
222,2019-12-13 21:23:33  ,POST,openmrs/ws/rest/v1/person
223,2019-12-13 21:23:35  ,POST,openmrs/ws/rest/v1/person/dd5536fd-1691-11df-97a5-7038c432aabf
224,2019-12-13 21:23:36  ,GET,openmrs/ws/rest/v1/person?q=Abby
225,2019-12-13 21:23:36  ,GET,openmrs/ws/rest/v1/person/dd55352f-1691-11df-97a5-7038c432aabf
226,2019-12-13 21:23:37  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
227,2019-12-13 21:23:37  ,GET,openmrs/ws/rest/v1/person?q=Abdi
228,2019-12-13 21:23:39  ,GET,openmrs/ws/rest/v1/person?q=Agai
229,2019-12-13 21:23:40  ,DELETE,openmrs/ws/rest/v1/person/59c8ea69-6f4a-428c-99bd-3c9b67cf4c65?purge=true
230,2019-12-13 21:23:41  ,GET,openmrs/ws/rest/v1/concept?q=1%3A8
231,2019-12-13 21:23:41  ,GET,openmrs/ws/rest/v1/person?q=Abby
232,2019-12-13 21:23:41  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
233,2019-12-13 21:23:42  ,GET,openmrs/ws/rest/v1/person?q=Agai
234,2019-12-13 21:23:44  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
235,2019-12-13 21:23:44  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
236,2019-12-13 21:23:44  ,GET,openmrs/ws/rest/v1/person/dd5541e2-1691-11df-97a5-7038c432aabf
237,2019-12-13 21:23:45  ,GET,openmrs/ws/rest/v1/person?q=Abdi
238,2019-12-13 21:23:45  ,POST,openmrs/ws/rest/v1/person
239,2019-12-13 21:23:47  ,GET,openmrs/ws/rest/v1/person?q=Abby
240,2019-12-13 21:23:48  ,GET,openmrs/ws/rest/v1/concept?q=Yes
241,2019-12-13 21:23:48  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
242,2019-12-13 21:23:49  ,GET,openmrs/ws/rest/v1/person?q=Agai
243,2019-12-13 21:23:50  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
244,2019-12-13 21:23:51  ,GET,openmrs/ws/rest/v1/person?q=Abby
245,2019-12-13 21:23:52  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
246,2019-12-13 21:23:52  ,GET,openmrs/ws/rest/v1/person?q=Abdi
247,2019-12-13 21:23:53  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTRETURN
248,2019-12-13 21:23:54  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSRETURN
249,2019-12-13 21:23:54  ,GET,openmrs/ws/rest/v1/person/dd554766-1691-11df-97a5-7038c432aabf
250,2019-12-13 21:23:54  ,GET,openmrs/ws/rest/v1/person?q=Agai
251,2019-12-13 21:23:55  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
252,2019-12-13 21:23:56  ,GET,openmrs/ws/rest/v1/concept?q=Yes
253,2019-12-13 21:23:56  ,GET,openmrs/ws/rest/v1/person/dd554766-1691-11df-97a5-7038c432aabf
254,2019-12-13 21:23:56  ,POST,openmrs/ws/rest/v1/person
255,2019-12-13 21:23:57  ,GET,openmrs/ws/rest/v1/concept?q=1-2+HR
256,2019-12-13 21:23:58  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
257,2019-12-13 21:23:58  ,GET,openmrs/ws/rest/v1/person?q=Abdi
258,2019-12-13 21:23:59  ,GET,openmrs/ws/rest/v1/person?q=Abby
259,2019-12-13 21:23:59  ,GET,openmrs/ws/rest/v1/obs?patient=dd55571f-1691-11df-97a5-7038c432aabf
260,2019-12-13 21:24:00  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
261,2019-12-13 21:24:00  ,GET,openmrs/ws/rest/v1/person?q=Abdi
262,2019-12-13 21:24:00  ,GET,openmrs/ws/rest/v1/person/dd554766-1691-11df-97a5-7038c432aabf
263,2019-12-13 21:24:01  ,GET,openmrs/ws/rest/v1/concept?q=-
264,2019-12-13 21:24:01  ,DELETE,openmrs/ws/rest/v1/person/272434cb-9343-41cd-9c9a-04ba1507429c?purge=true
265,2019-12-13 21:24:01  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
266,2019-12-13 21:24:02  ,GET,openmrs/ws/rest/v1/person/dd5538dc-1691-11df-97a5-7038c432aabf
267,2019-12-13 21:24:02  ,GET,openmrs/ws/rest/v1/concept?q=%28%2B%29
